,순위,곡ID,곡명,가수,앨범,좋아요,가사
10,11,37344422,Smoothie,NCT DREAM,DREAM( )SCAPE,"28,950",Smoothie yes sir umm Listen Good boy 이제 더는 없어 I’mma bad Soft하게 Twist Give you just a lil’ taste ha 가차 없이 비틀어 논 다음 삼켜 Sip Watch how I blend it up 가릴 것이 없어 우린 목이 말라 마침 보여줄게 네가 바란 무자비한 방식 Strawberry sweet cinnamon 어서 Pop that corn 터트려봐 You should know what you missin’ 수준대로 Guessin’ Freeze like ice 단 한 번에 Crushin’ 날것 그대로인 Action 껍질째로 밟아 우선 수도 없이 견딘 상처 위로 들이부어 실컷 끈적하게 날 타고 흘러내린 Trauma 씹어 삼켜 바닥까지 Cuz you’re my Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie 다 털어 갈아 넣어 Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie Dirty taste 들이켜 Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie 가볍게 씹어 삼켜 Smoothie Smoothie Smoothie Smoothie Sip it sip it down like Smoothie Sip it sip it down like Smoothie 때려 넣어 Doubt and fake 쏟아부어 모든 Pain Shower that in all this ice 결국엔 녹아 Fade out 어디 더 던져봐 Stuff Syrup and sugar like buff We make it easy I’m gonna take it all Ayo Check it huh 재료는 차고 넘쳐 새로 만든 Menu So delicious vicious 뭐래도 I deserve I’mma killa huh What a commotion 튀어 오른 찌꺼긴 옷에 묻어 그냥 버려 난 이미 Don’t need permission You just watch it Shakin’ stirrin’ drinkin’ up (ho! Give us some more) Hot and spicy Mix it up Wait stop 입은 다물고 봐 I’m ridin’ that new wave You should know what you missin’ 취향대로 Guessin’ Freeze like ice 더 거칠게 Mess up (거칠게 Mess up yeah) 훤히 드러나는 Action 배배 꼬여버린 시선 밟아버리는 게 Mission 우린 Special한 Edition 끈적하게 날 뒤덮었던 흉터를 봐 흔적 없이 끝을 내지 Watch me now Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie 다 털어 갈아 넣어 Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie Dirty taste 들이켜 Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie 가볍게 씹어 삼켜 Smoothie Smoothie Smoothie Smoothie 얼마든지 괴로워도 괜찮아 달콤함만 기대한 적 없어 난 모든 고통이 전부 녹아 흐른 뒤 (흘러간 뒤) 다시 채워지는 새로운 나 Sip it down real smooth you know Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie (Sip it down yeah) 다 털어 갈아 넣어 Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie (Pour it like Smoothie yeah) Dirty taste 들이켜 (Dirty taste 들이켜 Smoothie) Smoothie Smoothie Smoothie Smoothie Smoothie Smoothie 가볍게 씹어 삼켜 (가볍게 씹어 삼켜 Smoothie yeah) Smoothie Smoothie Smoothie Smoothie 끈적하게 날 Sip it sip it down like Smoothie Sip it sip it down like Smoothie
11,12,37248282,Watch Me Woo!,PLAVE,ASTERUM : 134-1,"25,124","I got stuck in roulette 돌아가는 문제 속 헤매고 있어 We wanna touch the moon 도달할 수 없다는 건 참 어리석었지 Watch Me Woo! Watch Me Woo! You know I know Ah Watch Me Woo! Watch Me Woo! You know I know Ah 세상은 다 거짓말 가면에 숨긴 Red eyes All I can say is, Freedom Vida Preciosa Livin’ La Vida Loca 의미 없단 건 결국 없다고 Yeah 너도 알고 있잖아 그 속 안에 진실과 마주치는 순간 You'll be alright Watch Me Woo! Watch Me Woo! You know I know Ah Watch Me Woo! Watch Me Woo! You know I know Ah Gold's getting bigger Gold on my neck Shining 24/7, They call me mad Gold's getting bigger Gold on my neck Shining 24/7, They call me mad 1 hunnit, 白이던 100이건 상관없이 I get it all 원하면 다 이뤄나가 Why so serious? God damn, 시간은 금 흘린 땀방울 뒤엔 우린 고급 지게 놀아 Play, 부 Watch Me Woo! Watch Me Woo! You know I know Ah Watch Me Woo! Watch Me Woo! You know I know Ah"
12,13,37248286,우리 영화,PLAVE,ASTERUM : 134-1,"24,993",많은 장면들을 보내고 나면 엔딩크레딧에는 너와 나뿐이야 끝나지 않은 이야긴 계속돼 우리의 영화를 시작해 엄청난 사랑에 빠져 uh 너란 존재를 알게 된 건 oh 정말 Lucky me Lucky me 비슷한 모습에 운명이란 말을 믿었죠 마침내 시작된 우리 이야기를 써 내려가요 너란 영화 되어줄게 Highlight 나의 영화 되어줄래 마지막 한 편의 영화가 끝나도 끝이 아닐 거라고 멜로 영화 주인공은 너야 흑백 영화 속에 너만 빛나 막이 내리고 별빛들이 쏟아질 거야 화면 속에 너와 나 Feel like I'm Hollywood star BGM은 Nothin' 내가 불러 넌 내 앞에서 Right here 즐겨만 줘 한걸음 우리 손잡고 같이 걷자 두 걸음 아름다운 밤을 지새우자 You know what What a beautiful night 모닥불 is burnin' 너를 사랑할게 I'm in love 너란 영화 되어줄게 Highlight 나의 영화 되어줄래 마지막 한 편의 영화가 끝나도 끝이 아닐 거라고 멜로 영화 주인공은 너야 흑백 영화 속에 너만 빛나 막이 내리고 별빛들이 쏟아질 거야 함께 걸어가 줄래 진심이니까 내 손 놓지 마 함께 걸어가 줄 때 넘어지면 내 손잡아 줄래 함께 걸어가 줄게 힘들 때면 내 손을 잡을래 함께 걸어가 줄 때 눈부시게 아름다워져 hey 너란 영화 되어줄게 Highlight 나의 영화 되어줄래 마지막 한 편의 영화가 끝나도 끝이 아닐 거라고 멜로 영화 주인공은 너야 흑백 영화 속에 너만 빛나 막이 내리고 별빛들이 쏟아질 거야 많은 장면들을 보내고 나면 엔딩크레딧에는 너와 나뿐이야 끝나지 않은 이야긴 계속돼 우리의 영화를 시작해
13,14,37248285,From,PLAVE,ASTERUM : 134-1,"23,894","How are you doing? 괜찮은 건지 사소한 감정들에 지쳐 보여 Somebody help me 그 시간들이 지나서 네게 비춰진 지금의 나 두려웠던 나의 계절 It was me, I didn't recognize myself 잠들지 못한 그날 잠들 수 없던 그 밤 무너질 수 없었던 일어서야만 했던 Fogginess, Broken heart But I've dreamed all day always Love you From your best friend 여기 Rain is falling 여전히 난 이곳에 서 있어 Somebody help me 그토록 바랬던 그 사람은 나, 너란 걸 찬란했던 나의 계절 It was me, I didn't recognize myself 잠들지 못한 그날 잠들 수 없던 그 밤 무너질 수 없었던 일어서야만 했던 Fogginess, Broken heart But I've dreamed all day always Love you From your best friend 잠들지 못한 그날 잠들 수 없던 그 밤 무너질 수 없었던 일어서야만 했던 Fogginess, Broken heart But I've dreamed all day always Love you From your best friend"
14,15,37248284,버추얼 아이돌,PLAVE,ASTERUM : 134-1,"23,857",아 매워 뭐가요? 맵다고 뭐가요? 어 매운 거? 라쓰고? 그런 거 말고 우리가 맵다 은호야 가자 네 형님 어디 갈까 고민하지 마 누가 뭐래도 난 충분하니까 있잖아 진짜로 하나도 부럽지가 않아 Billie jean is not my lover 타격 없어 떠들어 더 내 스타일은 한 귀로 듣고 흘렸어 죄송해요 귀엽게 봐주세요 버추얼 아이돌 우린 PLAVE 난 삐뚤 빼뚤 (삐뚤 빼뚤) 안 비슷 비슷해 (기특 기특해) 난 삐걱 삐걱 (삐걱 거려) 안 비겁 비겁해 Shake it 흔들어 Hater 들은 그냥 가세요 키득 키득 지긋 지긋 난 삐뚤 빼뚤 (삐뚤 빼뚤) 안 비슷 비슷해 (기특 기특해) 난 삐걱 삐걱거릴수록 다들 좋아해 (닥터) Shake it 흔들어 Hater 들은 그냥 가세요 키득 키득해 지긋 지긋해 Hey yeah 너 부정하지 마 (할 수 있잖아) 내 생각이 나잖아 (뭐야 왜 저래?) 논중화물이야 난 PLAVE 날아가는 모양 라쓰고 이름이 뭐냐고 물어보게 돼 넌 결국엔 입덕 파란색 노란색 분홍색 실버색 검은색 궁금해서 못 참을 거야 분명 버추얼 아이돌 우린 PLAVE 난 삐뚤 빼뚤 (삐뚤 빼뚤) 안 비슷 비슷해 (기특 기특해) 난 삐걱 삐걱 (아이고) 안 비겁 비겁해 Shake it 흔들어 Hater 들은 그냥 가세요 키득 키득 지긋 지긋 난 삐뚤 빼뚤 (삐뚤 빼뚤) 안 비슷 비슷해 (기특 기특해) 난 삐걱 삐걱거릴수록 다들 좋아해 (뚝스) Shake it 흔들어 Hater 들은 그냥 가세요 키득 키득해 지긋 지긋해 Hey yeah 인사드리겠습니다 잘 부탁드립니다 자주 뵙고 싶습니다 예쁘게 봐주세요 (예쁘게 봐달라니까?) 인사드리겠습니다 잘 부탁드립니다 자주 뵙고 싶습니다 예쁘게 봐주세요 난 삐뚤 빼뚤 안 비슷 비슷해 난 삐걱 삐걱 안 비겁 비겁해 Shake it 흔들어 Hater 들은 그냥 가세요 여러분 대박입니다
15,16,37138464,Super Lady,(여자)아이들,2,"32,378","I am the top, super lady (Oh) I never lose yeah (’Cause got a super power) I am a god, super lady (Oh) I NEVER DIE 봤지? 모두 Follow Boy boy boy 거기 비켜 어서 우린 Love love love 따위 하긴 바빠 여긴 War war war 자비 따윈 없어 날 막는다면 Slay it (Lock it) 남자들의 뻔한 가식 (Drop it) 억 소리 나는 그 사치 영웅은 조금의 흔들릴 틈 없이 Ready to shoot 입술이 다 번져도 그 어떤 놈보다 멋지게 (누구보다 멋지게) 웃어 보이지 더 거칠게 독하다 해 That’s my name I never bow on my way Lady lady Call me ‘Super Lady’ Lady lady Follow, ladies Onward, ladies Super ladies 하나 둘 셋 Mama said 넌 언젠가 세상을 망칠 악 그 겁에 질린 눈빛도 참 못됐으니까 그 눈빛은 패왕색 패기 여왕의 자질 The Baddie 100이면 100이 다 기절한 각성에 겁먹은 Devil 그래 뵈는 게 없거든 Do you know? 불길이 다 번져도 그 어떤 놈보다 멋지게 (누구보다 멋지게) 뛰어들 테지 더 뜨겁게 독하다 해 That’s my name I never bow on my way Lady lady Call me ‘Super Lady’ Lady lady Follow, ladies Onward, ladies Super ladies Let’s go on fearless We came to take a win Back it up (Oh) Back it up (Oh-oh) Back it up (Oh) Back it up Everybody say 누가 우릴 부른다면 Yes sir, super fast 누가 우릴 막는다면 Yes sir, supernatural 누가 봐도 우린 Yes, stronger than Superman Yes sir, I got super power Yes sir, I’m a"
16,17,37248287,Merry PLLIstmas,PLAVE,ASTERUM : 134-1,"19,603","Starry night 오늘을 준비했어 널 위한 노래와 크리스마스 선물들이 떨리는 내 심장소린 널 향한 연주가 되었죠 Mistletoe 우리들의 멜로디 하얀 솜 쌓여가는 이야기 따듯한 겨울눈이 falling 산타는 없죠 Say I love you Don’t leave me alone I will tell you one thing, lady 사랑에 빠져버린 것 같아 꿈을 꾼다 흰 눈이 널 닮은 이 순간 멜로 영화처럼 마침내 우린 결말이 되었죠 Christmas for you 꿈만 같아 온 세상이 멈춘 이 순간 너를 바라볼 때 눈송이가 수많은 별이 되어 반짝일 거야 사랑일까 새하얀 눈이 (펑펑) 내리는 거리 (펑펑) 만나러 가지 떨리는 아이 Christmas party 12시 지나면 종이 울릴 텐데 I swear to god I’ll love you forever babe Say I love you Don’t leave me alone I will tell you one thing, lady 사랑에 빠져버린 것 같아 꿈을 꾼다 흰 눈이 널 닮은 이 순간 멜로 영화처럼 마침내 우린 결말이 되었죠 Christmas for you 꿈만 같아 온 세상이 멈춘 이 순간 너를 바라볼 때 눈송이가 수많은 별이 되어 반짝일 거야 눈이 내리죠 그대 올까요 혹시라도 내가 놓칠까 봐 그대가 보여 내리는 눈 사이로 ooh 꿈을 꾼다 흰 눈이 널 닮은 이 순간 멜로 영화처럼 마침내 우린 결말이 되었죠 Christmas for you 꿈만 같아 온 세상이 멈춘 이 순간 너를 바라볼 때 눈송이가 수많은 별이 되어 반짝일 거야 Merry Christmas"
17,18,37229121,Shopper,아이유,The Winning,"37,941","아직도 난 더 가지고 싶어 (Yeah I want more I’ll get it more, more) 설레는 게 이렇게나 많은 걸 (Oh I want all I must have all, all) 저녁 일곱시 노을의 팔레트 (I need it, course I’ll take it, course, course) 가슴 터질 듯 내 이름을 외치는 목소리 (Oh it’s so worth It’s more than what, what) 빼곡히 적은 wish list 빠짐없이 가질 때까지 (Take what you want No matter who calls you a freak) 설명할 필요 없어 나 그때와는 다른 걸 원해, 원해 Let’s go haul 더 미어터질 만큼 다 채워 Look around 시간은 짧아 더 빨리 가져 (Shop all day, ay Greed is free, ay) Go Make your own 가지러 태어난 것처럼 이 샵은 문 닫지 않아 늘, 영원히 마지막 소절 숨의 첫 모금 (It's time to show Go, make it sure, sure) 승리를 앞둔 마음이 달릴 때 내는 소리 (It's time to go I'll make my goal, goal) 내게는 없어 plan B 모조리 내 것이 될 때까지 (Take what you want No matter who puts down your greed) 적당히로는 안돼 난 훨씬 더 대담한 걸 원해, 원해 Let’s go haul 더 미어터질 만큼 다 채워 Look around 시간은 짧아 더 빨리 가져 이 샵은 문 닫지 않아, 봐 필요 없는 건 없어 for my Victory, even your jealousy 나 이제껏 모르던 세상을 욕심 내볼래 Let’s go haul 더 미어터질 만큼 다 채워 Look around 시간은 짧아 더 빨리 가져 Shop all day, ay Greed is free, ay Go Make your own 가지러 태어난 것처럼 이 샵은 문 닫지 않아 늘, 영원히"
18,19,37323943,Welcome to the Show,DAY6 (데이식스),Fourever,"26,385",이젠 혼자가 아닐 무대 너무나 감격스러워 끝없는 가능성 중에 날 골라줘서 고마워 나와 맞이하는 미래가 위태로울지도 몰라 하지만 눈물 가득한 감동이 있을지도 몰라 그래도 내 손 놓지 않겠다면 If so Then let's go Welcome to the show Oh 이것만큼은 맹세할게 내 전부를 다 바칠게 네 눈빛 흔들리지 않게 널 바라보며 서 있을게 알아 너의 결정이 쉽지 않았을 거야 후회 없게 하는 건 이제 나의 몫이야 끝까지 같이 함께 가겠다면 If so Then let's go Welcome to the show Oh 이것만큼은 맹세할게 내 전부를 다 바칠게 네 눈빛 흔들리지 않게 널 바라보며 서 있을게 막이 내릴 그날에도 그때도 네 손 꼭 잡은 채 너라서 행복했다고 서로가 말할 수 있도록 이것만큼은 맹세할게 내 전부를 다 바칠게 네 눈빛 흔들리지 않게 널 바라보며 서 있을게 Oh Oh
19,20,37138471,Wife,(여자)아이들,2,"31,085","I cook cream soup Taste is Cocoroco Want me as your wife but she is Umm umm umm I clean your room It’s so twinkle twinkle Want me as your wife but she is Umm umm umm 자기야 한입 크게 맛봐 배가 부르대도 뱉으면 나빠 좀 더 줄 테니 그만 침 좀 닦아 이제 다 큰 거 아니 너네 아빠 그래 그럴 줄 알고 케이크 좀 구웠어 그게 다가 아냐 위에 체리도 따먹어줘 조심스레 키스하고 과감하게 먹어치워 어떤지 맛 표현도 들려 보여줘 I cook cream soup Taste is Cocoroco Want me as your wife but she is Umm umm umm I clean your room It’s so twinkle twinkle Want me as your wife but she is Umm umm umm Umm umm umm It’s a ddub ddub ddub 나의 Tongue 살짝 Touch 너는 Brr brr brr 아 구석구석 깨끗이 닦아놔 섬세한 입술에 손길은 안 닿아 머리부터 발끝까지 그냥 Chop chop chop 배웠으면 이제 너도 한번 올라타봐 만약 잘한다면 멋진 노래도 부르고 물 만난 인어처럼 예쁜 춤도 춰줄 거야 만약에 잘한다면 나도 배도 부르고 기분 좋으니까 깊숙이 더 삼켜버릴 거야 I cook cream soup Taste is Cocoroco Want me as your wife but she is Umm umm umm I clean your room It’s so twinkle twinkle Want me as your wife but she is Umm umm umm Wife, I make you feel so high I make you feel like lie But I don’t wanna Wife wife wife wife Wife, I make you feel so high I make you feel like lie But I don’t wanna"
20,21,37344429,UNKNOWN,NCT DREAM,DREAM( )SCAPE,"20,200","지친 하루 끝에 다시 무너져 내려 멈춰 서지 않게 내 이름을 불러줘 홀로 웅크린 채 점점 깊이 헤매 넌 So you keep on holding it back But you can’t see how 낯선 세상 속에서 널 기다리고 있어 Why’d you ever doubt it? No never be scared of trying 잠시 잊었던 꿈들에 다시 닿을 수 있게 너의 맘의 소리를 들어 baby So, what if all of this could just be so easy just like Don't change, let go Be brave, be strong But take it easy, no rush I know you got it Go, fail forward Go get your voice heard, don’t fold 다시 널 찾아가 Into the UNKNOWN Don’t let it be Go chase your dreams Dive in, dive in, into the UNKNOWN 한 걸음씩 더 가까이 다시 널 찾아가 Into the UNKNOWN 잊지는 마 Your reasons 오늘의 너를 위해 달려왔던 날의 Story I won’t let it fade away 어둠 속의 Memory 길을 잃어버렸던 You & Me And in the ice cold nights, I’ll be guiding you right And I promise that you can count on me like You got one more shot Tell me how you gon’ get it (gon’ get it) Don’t try and you never gon’ get it (oh yeah) 첨 그날처럼 널 Rewind 다시 Look in your eyes 지금 이 순간 설렘이 다시 몰아칠 때 한 번 더 널 맡긴 채 용기 내볼 수 있게 새로운 꿈을 꿔 We won’t stop You can break it 갇혀버린 한계를 깨 And now you see that 같은 장면 속에서 아직 헤매고 있어 Why’d you ever doubt it? No never be scared of trying 잠시 잊었던 꿈들에 다시 닿을 수 있게 너의 맘의 소릴 들어 baby Don't change, let go Be brave, be strong But take it easy, no rush I know you got it Go, fail forward Go get your voice heard, don’t fold 다시 널 찾아가 Into the UNKNOWN Don’t let it be Go chase your dreams Dive in, dive in, into the UNKNOWN 한 걸음씩 더 가까이 And I know that 뛰어들어 너를 향해 두려워도 네가 만들어낸 파동에 Dive in Dive in I don’t know what ocean 긴 숨 쉬고 밑에 닿아 Pearls reflect our Diamonds 거친 파도보다 마음의 갈망이 더 일으켜 Wave Be brave (Be brave) Be strong (Be strong) Dive into the UNKNOWN now Don't change, let go Be brave, be strong But take it easy, no rush I know you got it Go, fail forward Go get your voice heard, don’t fold 다시 널 찾아가 Into the UNKNOWN Don’t let it be Go chase your dreams Dive in, dive in, into the UNKNOWN 한 걸음씩 더 가까이 다시 널 찾아가 Into the UNKNOWN Say what you like 이렇게 너를 부르잖아 oh yeah I know you try 꿈꾸던 너를 잊지는 마 (I know you try) So say what you like 또 다른 꿈에 닿을 때까지 다시 널 찾아가 Into the UNKNOWN"
21,22,37347911,Magnetic,아일릿(ILLIT),SUPER REAL ME,"11,257",Baby I’m just trying to play it cool But I just can’t hide that I want you Wait a minute 이게 뭐지? 내 심장이 lub-dub 자꾸만 뛰어 저 멀리서도 oh my gosh! 끌어당겨 you’re my crush! 초능력처럼 거대한 자석이 된 것만 같아 my heart 네 모든 게 내 맘에 달라붙어버려 boy We’re magnetized 인정할게 This time I want You You You You like it’s magnetic U U U U U U U U super 이끌림 You You You You like it’s magnetic U U U U U U U U super 이끌림 BAE BAE BAE BAE BAE BAE BAE BAE BAE Dash-da-da Dash-da-da Dash-da Like it’s magnetic BAE BAE BAE BAE BAE BAE BAE BAE BAE Dash-da-da Dash-da-da Baby don’t say no 정반대 같아 our type 넌 J 난 완전 P S와 N 극이지만 그래서 끌리지 내가 만들래 green light 여잔 배짱이지 So let’s go let’s go Let’s go let’s go 숨기고 싶지 않아 자석 같은 my heart 내 맘의 끌림대로 너를 향해 갈게 boy We’re magnetized 인정할게 This time I want You You You You like it’s magnetic U U U U U U U U super 이끌림 You You You You like it’s magnetic U U U U U U U U super 이끌림 No push and pull 전속력으로 너에게 갈게 (In a rush in a rush) Our chemistry 난 과몰입해 지금 순간에 (Baby you’re my crush you’re my crush) No push and pull 네게 집중 후회는 안 할래 (Gonna dash gonna dash) Never holding back 직진해 yeah This time I want You You You You like it’s magnetic U U U U U U U U super 이끌림 You You You You like it’s magnetic U U U U U U U U super 이끌림 BAE BAE BAE BAE BAE BAE BAE BAE BAE Dash-da-da Dash-da-da Dash-da Like it’s magnetic BAE BAE BAE BAE BAE BAE BAE BAE BAE Dash-da-da Dash-da-da Baby don’t say no
22,23,37344419,icantfeelanything,NCT DREAM,DREAM( )SCAPE,"20,527",I might’ve been afraid to be brave Come on 가본 적 없는 Place 낯선 Way Come on 아득한 벽 앞에 멈춘 채 Come on come on Cause I'm lost and confused 어둠 속에 빠져 난 지금 아득해져 가 Erased from my mind Erased from my mind (I can’t feel) Erased from my mind ooh Now I try hard to escape 길었던 밤의 저편에 두려움을 딛어 자신을 믿어 새로운 세상을 향해 Speed up ay ay 새벽을 건너 Now I fly high 더 높이 날 붙잡던 어둠은 다 흩어지듯이 Lookin’ up higher in the sky 어제의 두려움은 다 Fadin’ out 작아져만 가 (ooh Though I'm) I'm still confused Wishin’ that I could just get through Erased from my mind Erased from my mind Erased from my mind (I can’t feel) Erased from my mind Erased from my mind (I can’t feel) Erased from my mind Escape from reality and dream beyond
23,24,37344423,BOX,NCT DREAM,DREAM( )SCAPE,"19,193",Well the first thing first Heart is burnin' 본능 속에 날 맡기려 해 나의 Blood sweat tears 전부 All in 발톱을 세워 I cannot be caged So wild 예민한 감각이 깨어나 Get some better 구속된 어제를 벗어나 날 가둔 오랜 침묵을 깨 과감한 선택 깨부숴 Frame 봐 시작되는 Fire 세상에 올라타 Higher yeah We come and go get it Nobody lockin' me up Don’t put me in a BOX I’m banging on the roof Don’t put me in a BOX I’m a lion on the move yeah Got no limit limit No limit limit no Keep runnin' runnin' Keep runnin' runnin' go 턱 끝까지 맺힌 숨 Don't put me in a B-O-X oh no oh (oh Put me in a BOX) B-O-X oh no oh (yeah no no no) I'm a I'm a I'm a I'm a drummer boy And I play with the rhythms 이끌어 내가 결국 마주할 그 Freedom What what hey 뜨겁게 Be ambitious Ready for my action (내겐 없어 Brake yo) Is she Is she Siri on 위치 Pin 보여 나? Easy-rip it ah Easy-kit easy Find me cause I’m free I got the power Cardboard 부숴 너희들의 압박 더 번져가는 Fire 차고 또 넘쳐 Desire yeah We come and go get it Nobody lockin' me up Don’t put me in a BOX I’m banging on the roof Don’t put me in a BOX I’m a lion on the move yeah Got no limit limit No limit limit no Keep runnin' runnin' Keep runnin' runnin' go 턱 끝까지 맺힌 숨 번지는 Roarin’ I don’t need controllin' Let me go Nobody lockin‘ me up Nobody stoppin’ me 만족을 몰라 Way up 넘어서 Gravity 더 자유롭게 멈추지 않을래 We can explode 찢고 또 태워 This BOX Nobody lockin’ me down Don’t put me in a BOX I’m banging on the roof Don’t put me in a BOX I’m a lion on the move yeah Got no limit limit No limit limit no (No limit) Keep runnin' runnin' Keep runnin' runnin' go (Keep it runnin’) 턱 끝까지 맺힌 숨 (oh 맺힌 숨) Don’t put me in a B-O-X oh no oh B-O-X oh no oh (yeah yeah yeah yeah yeah)
24,25,37344430,숨 (Breathing),NCT DREAM,DREAM( )SCAPE,"19,349",Where I am 눈을 감으면 잊혀진 바다가 돼 무겁게 가라앉고만 싶을 때 너는 달빛처럼 다가와 말을 건네 I’m so up and down that I can’t stop 대답 없는 질문 가득해져 아주 당연했던 감각 oh 잊어버린 것만 같아 oh I’ve been searching for another meaning 마주칠 수 있을까 When I’m falling down down down You always save me 내 맘 다 알아준 온기 감싸오는 너의 숨이 나를 눈뜨게 하지 길을 잃은 별처럼 헤매는 매일 다정히 이끄는 손길 너를 따라 다시 Dreaming 네가 있어 Now I’m Breathing 내 안에 감추고 외면했던 웅크린 나를 마주해 Feel like I’m about to drown I’m not Breathing 점점 더 천천히 날 조여와 결국 내가 나를 Bring me down 망상들로 숨 쉴 줄만 알아서 I’m in the deep end 칠흑같이 어두워 Can you find me I’m so up and down that I can’t stop (I won’t never stop I won’t give you up) 길을 찾지 못해 불안해져 같은 꿈을 꾸던 순간 oh 잃어버린 것만 같아 oh I’ve been searching for another meaning 나아갈 수 있을까 When I’m falling down down down You always save me 내 맘 다 알아준 온기 감싸오는 너의 숨이 나를 눈뜨게 하지 길을 잃은 별처럼 헤매는 매일 다정히 이끄는 손길 너를 따라 다시 Dreaming 네가 있어 Now I’m Breathing 맘이 다 부서지고 숨이 차 도망쳤을 때 말도 없이 옆에 서서 기다려준 너를 알아 난 아득한 방황의 끝에 돌아갈 You’re my last chance I don’t have any air without you I know I’m no good without you baby can you stay all night yeah You know I’m always drinking beer Before I meet you Still shaking me (Stupid Cupid) 오늘도 난 너를 보다가 Where’s my time? 다른 건 다 필요 없다 오직 하나 Please more Breathing 숨을 들이마셔 Think about you 어둠 속에 나를 비춘 너와 손을 뻗어 잡고 느껴지는 따스한 온기 속 원하는 답을 찾아 더 깊이 Dive in dive in 우리들의 여정을 계속해 When I’m falling down down down You always save me 내 맘 다 알아준 온기 (네 온기) 감싸오는 너의 숨이 나를 눈뜨게 하지 길을 잃은 별처럼 (내 곁에) 헤매는 매일 다정히 이끄는 손길 너를 따라 다시 Dreaming 네가 있어 Now I’m Breathing Here I am 두 눈을 뜨면 긴긴밤의 끝자리 따스해 마주 잡은 손 느낄 때 And my heart starts beating
25,26,37344426,Carat Cake,NCT DREAM,DREAM( )SCAPE,"17,624",Wow wow wow wow What’s that thing on my wrist? What’s that thing on my wrist? Never seen nothing like this Never seen nothing like this 몰래 낚아채 휙 이미 탐한 눈빛 넌 못 감춰 Saying “Wow!” 외쳐 Asking how What’s that? What’s that? 커지는 Eyes What’s that? What’s that? 낯선 그 Bright What’s that? What’s that? oh 눈을 뜨는 그 순간 Oh my god 네 맘 가득해진 묘한 Magic That’s a couple hundred carats 커져 Siren Bu-Bu-Burning up I just want it all I just want it all yeah 널 위한 Whole jewelry store on my hand Wow wow wow wow That’s a Carat Cake Wow Don’t know how That’s a Carat Cake 투명한 그 빛 Hit the heart like “clink” Got you saying Wow wow wow wow That’s a Carat Cake Carat Cake Carat Carat Cake Carat Cake Carat Carat Cake Carat Cake Carat Carat Cake Wow wow wow wow Diamonds maybe I’m Daimōn 황홀한 Shining I try to hide it You just can’t hide this yeah 네 맘을 Hit hit hit 할 수록 Sweet sweet sweet 빠져 더 Deep deep deep We’re going high 솔직해져 Oh my god What’s that? What’s that? 달콤한 마음 What’s that? What’s that? 번지는 Shine What’s that? What’s that? oh 손에 잡힌 그 순간 Oh my god 들켜버린 Savage 나른해진 미소마저 Hundred carats that’s amazing Bu-Bu-Burning up I just want it all I just want it all yeah 널 위한 Whole jewelry store on my hand Wow wow wow wow That’s a Carat Cake Wow Don’t know how That’s a Carat Cake 투명한 그 빛 Hit the heart like “clink” Got you saying Wow wow wow wow That’s a Carat Cake Carat Cake Carat Carat Cake Carat Cake Carat Carat Cake Carat Cake Carat Carat Cake Wow wow wow wow
26,27,37125843,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom),Yes or No,"38,030","What’s on your mind 넌 이미 알고 있잖아 궁금해 난 정말 뭔지 너의 맘이 Baby don’t smile 더 기다리기 지쳐 난 Look at my eyes (Ha) 지금이잖아 타이밍 Feel yourself, and free yourself (If you) feel me 말해줄래 Yes or No Feel yourself, and free yourself (If you) feel me 말해줄게 Yes or No Do you wanna ride or die with me 어딜 가든지 따라와 줄 거야? 아니면서 계속 맴돌지 자꾸 내 주위를 좁혀가 우리 사이 I’ve never been the one to plead 'cause boys are cheap 차라리 끝내자 But I know 결국 다시 back on repeat 처음부터 달랐어 불길하게 달콤한 느낌 이미 난 흔들렸어 내 맘대로 되는 게 없어서 싫은데 좋아 So love, so pain What’s on your mind 넌 이미 알고 있잖아 궁금해 난 정말 뭔지 너의 맘이 Baby don’t smile 더 기다리기 지쳐 난 Look at my eyes (Ha) 지금이잖아 타이밍 Feel yourself, and free yourself (If you) feel me 말해줄래 Yes or No Feel yourself, and free yourself (If you) feel me 말해줄게 Yes or No 이런 사이는 Not my taste 애매하게 흘리는 Night and day Don't play with me 넌 알고 있잖니 어서 빨리 Oh just let me know What’s on your mind 전부 알고 싶어 난 언제까지 이렇게 날 애태울 셈이야 지금이야 순간 It’s time to decide I can't wait no more 다시 반복해 또 What’s on your mind 넌 이미 알고 있잖아 궁금해 난 정말 뭔지 너의 맘이 Baby don’t smile 더 기다리기 지쳐 난 Look at my eyes (Ha) 지금이잖아 타이밍 Feel yourself, and free yourself (If you) feel me 말해줄래 Yes or No Feel yourself, and free yourself (If you) feel me 말해줄게 Yes or No"
